epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,24.9096,0.96613,0.7111,1,0.69763,0.00995536,0.00331845,0.00995536,0.00331845,0.00995536,0.00331845,0.00995536,0.00331845
2,48.4183,0.4747,0.77635,1,0.67409,0.0197578,0.00658593,0.0197578,0.00658593,0.0197578,0.00658593,0.0197578,0.00658593
3,71.5307,0.44525,0.72448,1,0.74467,0.0293622,0.00978741,0.0293622,0.00978741,0.0293622,0.00978741,0.0293622,0.00978741
4,94.4315,0.51082,0.70608,1,0.95863,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,117.295,0.43006,0.77468,1,0.67093,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,140.289,0.34391,0.87061,1,0.39887,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,163.235,0.29904,0.8589,1,0.37091,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,186.208,0.27363,0.81874,1,0.52079,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,209.103,0.23665,0.84941,1,0.57555,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,232.118,0.21868,0.86447,1,0.42567,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,254.897,0.19806,0.86503,1,0.44244,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,278.066,0.19028,0.88455,1,0.38823,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,301.24,0.18525,0.8773,1,0.46042,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,324.217,0.16907,0.87953,1,0.50682,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,347.263,0.16047,0.89794,1,0.40766,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,370.591,0.15673,0.89069,1,0.39537,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,393.632,0.15791,0.8812,1,0.3959,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,416.589,0.14365,0.87619,1,0.48297,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,439.534,0.13974,0.89682,1,0.38438,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,462.449,0.13922,0.87507,1,0.5725,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,485.315,0.14195,0.8773,1,0.45444,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,508.114,0.12887,0.86838,1,0.58341,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,531.176,0.12082,0.89403,1,0.40828,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,553.978,0.11984,0.88678,1,0.51693,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,576.791,0.12109,0.87897,1,0.6143,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
