epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,58.7125,1.43107,3.16035,0.00892,0.23422,0.92901,0.6735,0.46934,1.25008,2.28971,0.01118,0.000656566,0.000656566,0.000656566
2,83.8778,1.22923,1.07118,0.00742,0.73475,0.68284,0.81465,0.47421,1.4396,1.22299,0.01446,0.00131013,0.00131013,0.00131013
3,111.424,1.17384,0.89815,0.00716,0.8183,0.78647,0.89347,0.55658,1.387,0.90783,0.01337,0.0019505,0.0019505,0.0019505
4,138.767,1.10625,0.76514,0.00679,0.84975,0.84684,0.92396,0.64594,1.17348,0.67132,0.01029,0.0019406,0.0019406,0.0019406
5,166.656,1.11642,0.72049,0.00672,0.87078,0.88519,0.94536,0.70929,0.91878,0.53844,0.00759,0.0019208,0.0019208,0.0019208
6,194.283,1.06025,0.66377,0.00639,0.89103,0.91415,0.96483,0.70692,0.99685,0.52787,0.00852,0.001901,0.001901,0.001901
7,222.446,1.02685,0.61912,0.00599,0.81858,0.89939,0.93273,0.72275,0.86885,0.5346,0.00713,0.0018812,0.0018812,0.0018812
8,249.407,1.0304,0.58224,0.00612,0.91537,0.88765,0.96785,0.67113,1.15784,0.51391,0.01087,0.0018614,0.0018614,0.0018614
9,276.977,1.0011,0.54226,0.00594,0.88454,0.92957,0.96614,0.70857,0.98622,0.45818,0.00846,0.0018416,0.0018416,0.0018416
10,304.032,1.00751,0.53532,0.00601,0.9045,0.90527,0.97035,0.73283,0.90101,0.44203,0.00756,0.0018218,0.0018218,0.0018218
11,331.846,0.9753,0.49022,0.0057,0.9266,0.91734,0.97758,0.70742,1.05907,0.42272,0.00966,0.001802,0.001802,0.001802
12,359.305,0.99173,0.4828,0.0059,0.90658,0.93963,0.97348,0.74403,0.89663,0.39711,0.0075,0.0017822,0.0017822,0.0017822
13,386.325,0.96907,0.46222,0.00573,0.9156,0.90665,0.97239,0.76109,0.84679,0.40189,0.00687,0.0017624,0.0017624,0.0017624
14,414.139,0.96316,0.45047,0.00559,0.93809,0.94011,0.98296,0.73127,0.9582,0.3756,0.00813,0.0017426,0.0017426,0.0017426
15,442.059,0.96397,0.44798,0.00559,0.90431,0.90857,0.96636,0.68134,1.08366,0.46455,0.00969,0.0017228,0.0017228,0.0017228
16,469.225,0.96856,0.43719,0.00563,0.94844,0.93563,0.98454,0.74335,0.94802,0.37345,0.00793,0.001703,0.001703,0.001703
17,496.482,0.95537,0.43328,0.0056,0.93488,0.93088,0.9824,0.76508,0.85966,0.3553,0.0073,0.0016832,0.0016832,0.0016832
18,524.45,0.96997,0.41253,0.00562,0.91285,0.93685,0.98032,0.73537,0.97568,0.37644,0.00813,0.0016634,0.0016634,0.0016634
19,552.46,0.92416,0.41023,0.00526,0.93966,0.94746,0.98621,0.74686,0.90415,0.35599,0.00779,0.0016436,0.0016436,0.0016436
20,580.259,0.95491,0.40127,0.00564,0.92301,0.9469,0.98336,0.74248,0.89627,0.36448,0.00773,0.0016238,0.0016238,0.0016238
21,608.048,0.91116,0.3806,0.00524,0.96173,0.95193,0.98995,0.78048,0.82045,0.30269,0.00665,0.001604,0.001604,0.001604
22,635.787,0.92997,0.37306,0.0054,0.93001,0.92901,0.97967,0.73985,0.89584,0.38842,0.00735,0.0015842,0.0015842,0.0015842
23,663.667,0.96298,0.38911,0.00554,0.94927,0.90993,0.98148,0.73536,0.95019,0.37032,0.00802,0.0015644,0.0015644,0.0015644
24,691.001,0.89463,0.37195,0.00519,0.9482,0.96172,0.9886,0.74644,0.91387,0.31849,0.00783,0.0015446,0.0015446,0.0015446
25,718.487,0.90789,0.3712,0.00518,0.95426,0.92733,0.98417,0.77232,0.82238,0.32482,0.00653,0.0015248,0.0015248,0.0015248
26,746.305,0.91276,0.37788,0.00534,0.9547,0.93073,0.98546,0.75778,0.86639,0.34901,0.00725,0.001505,0.001505,0.001505
27,773.875,0.87482,0.35712,0.00503,0.95196,0.95256,0.98683,0.77888,0.83886,0.30071,0.00677,0.0014852,0.0014852,0.0014852
28,801.607,0.87959,0.35989,0.00506,0.93945,0.92803,0.98107,0.748,0.86826,0.37946,0.00699,0.0014654,0.0014654,0.0014654
29,829.376,0.89947,0.35806,0.00524,0.95297,0.96646,0.98954,0.75312,0.92906,0.32851,0.00799,0.0014456,0.0014456,0.0014456
30,857.143,0.89182,0.35577,0.00507,0.95063,0.94725,0.98733,0.78202,0.81898,0.31047,0.00661,0.0014258,0.0014258,0.0014258
31,885.022,0.89048,0.35649,0.00519,0.96689,0.95864,0.99029,0.77347,0.87045,0.30558,0.00757,0.001406,0.001406,0.001406
